experiment_number,cluster_config_type,hbase_config_type,table_config_type,phase,workload_type,total_number_operations,overall_throughput,number_insert_operations,insert_avg_latency,number_read_operations,read_avg_latency,number_update_operations,update_avg_latency,number_scan_operations,scan_avg_latency,number_delete_operations,delete_avg_latency,dfs_capacityUsedGB,dfs_Gegabytes_written,dfs_Gigabytes_read,dfs_block_written,dfs_block_read,dfs_writes_from_remote_client,dfs_writes_from_local_client,dfs_reads_from_remote_client,dfs_reads_from_local_client,dfs_readBlockOp_num_ops,dfs_readBlockOp_avg_time,dfs_writeBlockOp_num_ops,dfs_writeBlockOp_avg_time,dfs_gcTimeMillis,storeFileCount,storeFileSizeGB,hlogFileCount,hlogFileSizeGB,blockCacheFreeSizeGB,blockCacheCount,blockCacheSizeGB,blockCacheHitCount,blockCacheMissCount,blockCacheEvictionCount,rs_gcTimeMillis,numGigaBytesCompactedCount,numFilesCompactedCount,compactionsCompletedCount,rs_ipc_avg_queueSize_in_million,rs_get_mean
223,2,2,1,1,workloadc,50000020,14994.589951945338,44997387,11.470183657553271,5002613,13081.584520729466,20,165311.8,0,0,0,0,97.04312303941697,270.7356553040445,68.24022340588272,5551.0,1702472.0,2776.0,2775.0,329652.0,1372820.0,1702472.0,41.18895229994972,5551.0,6623.435417041975,52230.0,129.0,31.013356600888073,29.0,1.5652191750705242,0.3183763772249222,186654.0,11.576032802462578,54222902.0,2482702.0,1494012.0,1177154.0,5707.953030739911,68122,9541,2.800334785714286,3.7558172847821183
224,2,2,1,1,workloadc,50000020,15410.894516125652,44999859,11.517554755004898,5000141,12739.719002324135,20,169958.15,0,0,0,0,85.9630266558379,195.89814852550626,50.33180675841868,4282.0,1679500.0,2141.0,2141.0,103865.0,1575635.0,1679500.0,10.843957725513546,4282.0,5595.750583839327,57783.0,477.0,30.9658207539469,24.0,1.263254439458251,0.5483383685350418,183284.0,11.346070811152458,146080741.0,1691036.0,1493241.0,1457220.0,0.0,0,0,2.832243592957746,2.9979837111580645
225,2,2,1,1,workloadb,50000020,6864.937032051567,24998590,11.874533963715553,25001410,5775.559650675702,20,176512.1,0,0,0,0,44.184152603149414,184.12408438511193,410.677366361022,3676.0,12626930.0,1838.0,1838.0,9225033.0,3401897.0,12626930.0,6.360287892623147,3676.0,16400.740478781285,206587.0,36.0,17.27466348744929,32.0,1.742697885259986,0.036349840462207794,15131.0,0.9627805277705193,106559742.0,13823137.0,12602377.0,1182936.0,13656.961140413769,125351,34545,0.5764473768115942,2.231468272485903
226,2,2,1,1,workloadb,50000020,6519.005116375975,24999868,12.338300666227518,25000132,6076.135012727133,20,115809.1,0,0,0,0,40.73873213771731,109.2148209689185,402.61950697377324,2344.0,13428677.0,1174.0,1170.0,10075003.0,3353674.0,13428677.0,4.797497102655757,2344.0,21587.669795221842,238388.0,268.0,17.26835002936423,32.0,1.741908053867519,0.021146997809410095,15567.0,0.977983370423317,411313970.0,13435329.0,13406123.0,1117525.0,0.13096247054636478,3,1,0.5376243130489335,2.3877859985369043
227,2,2,1,1,workloadb,50000020,6678.936317945153,24997926,11.999738658319094,25002074,5919.0405562354545,20,107089.95,0,0,0,0,42.09235001727939,184.73592202179134,364.28553938586265,3700.0,11153385.0,1858.0,1842.0,7711149.0,3442236.0,11153385.0,7.489723971691105,3700.0,16515.564864864864,201471.0,36.0,17.272646515630186,33.0,1.8008426269516349,0.08831328898668289,30085.0,1.8861585184931755,105700298.0,12277428.0,11113493.0,1280936.0,14586.514279010706,132056,36649,0.6839263472400514,2.0978681927432605
228,2,2,1,1,workloadb,50000020,7030.225893812375,25002838,11.729521024773268,24997162,5631.825009895123,20,149305.85,0,0,0,0,41.31853113695979,109.36816823575646,356.68564059585333,2350.0,11898080.0,1180.0,1170.0,8450933.0,3447147.0,11898080.0,4.395367655957936,2350.0,20633.485531914892,205171.0,268.0,17.280336174182594,33.0,1.7981303613632917,0.04788758605718613,30936.0,1.9265842214226723,413861711.0,11906762.0,11860312.0,1438513.0,0.13715671002864838,3,1,0.6263175148448044,1.9188461872892262
231,2,2,1,1,workloada,50000020,5715.663352458324,5003140,36.30378782124826,44996860,3848.054833315036,20,127381.8,0,0,0,0,38.765931736677885,155.62631563469768,866.3941907640547,2996.0,21774246.0,1498.0,1498.0,0.0,21774246.0,21774246.0,3.9032613574770854,2996.0,20574.29539385848,372310.0,33.0,15.882285108789802,20.0,1.0298810685053468,0.0390840619802475,14954.0,0.9393878132104874,173395085.0,22628361.0,21743609.0,1084424.0,16183.051807665266,151345,42062,0.19441397458563536,1.2461578827932074
232,2,2,1,1,workloada,50000020,4817.630987773335,5001428,36.65974097797669,44998572,4569.679958244008,20,164232.1,0,0,0,0,37.93426105193794,85.03905299119651,847.5666801016778,1730.0,22178916.0,865.0,865.0,6756303.0,15422613.0,22178916.0,3.739879081556556,1730.0,34676.17514450867,422784.0,256.0,15.884352954104543,19.0,0.9736513188108802,0.03155650943517685,15463.0,0.946915365755558,677706014.0,22176857.0,22154781.0,1044777.0,0.1299647018313408,3,1,0.1810392221702526,1.694067413535099
233,2,2,1,1,workloada,50000020,4581.42455914784,5003812,37.2481232308488,44996188,4808.124405138497,20,127726.55,0,0,0,0,38.05776288174093,155.30402715690434,1001.5651577021927,3036.0,25203402.0,1518.0,1518.0,6345232.0,18858170.0,25203402.0,4.47516902678456,3036.0,25443.395256916996,420273.0,31.0,15.888747184537351,19.0,0.9714545244351029,0.0072831809520721436,5382.0,0.34638136625289917,165836985.0,26099188.0,25180260.0,774230.0,19299.71707577817,181139,50671,0.207085623885918,2.095555455351947
234,2,2,1,1,workloada,50000020,5017.784533722874,5000365,36.59100485664546,44999635,4386.627941582193,20,179687.15,0,0,0,0,37.58143194951117,84.76880210824311,977.9912489326671,1706.0,25594638.0,853.0,853.0,6286350.0,19308288.0,25594638.0,2.1801885222990847,1706.0,34287.563305978896,524295.0,256.0,15.884841441176832,19.0,0.9677618490532041,0.015488959848880768,5605.0,0.33817558735609055,675353511.0,25588998.0,25579475.0,1706148.0,0.0,0,0,0.18591082115009747,1.7156514601833424
235,2,2,1,1,workloada,50000020,5263.008314500536,5003176,35.27592573197505,44996824,4183.885751625492,20,219510.25,0,0,0,0,37.98590937629342,155.32219610735774,737.3520987769589,3018.0,18601584.0,1509.0,1509.0,896503.0,17705081.0,18601584.0,5.3272267566030935,3018.0,21541.28793903247,320281.0,33.0,15.89296049065888,19.0,0.967077954672277,0.08395977318286896,30196.0,1.8847728222608566,175006076.0,19362270.0,18553646.0,1066797.0,17595.40144853946,164224,45926,0.17829104285714287,1.4303682450310997
236,2,2,1,1,workloada,50000020,5387.889231893891,5001847,36.1520804214923,44998153,4085.9653393107046,20,102259.8,0,0,0,0,37.44832205399871,84.80516554415226,724.8136049751192,1764.0,18970270.0,882.0,882.0,6921301.0,12048969.0,18970270.0,3.4350252263146492,1764.0,31519.416099773243,377525.0,256.0,15.895179239101708,20.0,1.03578629065305,0.07041718065738678,30867.0,1.8983154147863388,681785482.0,18965008.0,18931574.0,1130061.0,0.0,0,0,0.25437065083507304,1.2810688846059541
