experiment_number,cluster_config_type,hbase_config_type,table_config_type,phase,workload_type,total_number_operations,overall_throughput,number_insert_operations,insert_avg_latency,number_read_operations,read_avg_latency,number_update_operations,update_avg_latency,number_scan_operations,scan_avg_latency,number_delete_operations,delete_avg_latency,dfs_capacityUsed,dfs_bytes_written,dfs_bytes_read,dfs_writes_from_remote_client,dfs_writes_from_local_client,dfs_reads_from_remote_client,dfs_reads_from_local_client,dfs_readBlockOp_num_ops,dfs_readBlockOp_avg_time,dfs_writeBlockOp_num_ops,dfs_writeBlockOp_avg_time,storeFileCount,storeFileSize,hlogFileCount,hlogFileSize,blockCacheCount,blockCacheSize,blockCacheHitCount,blockCacheMissCount,blockCacheEvictionCount,numBytesCompactedCount,numFilesCompactedCount,compactionsCompletedCount,rs_ipc_avg_queueSize
70,2,2,1,1,load,10000020,18815.73748283064,10000000,989.889385,0,0,20,5944692.4,0,0,0,0,60716082247.0,63345663720.0,3414235409.0,697.0,697.0,0.0,0.0,691.0,11410.0,1394.0,13400.017857142859,46.0,6609453945.0,58.0,4003320213.0,8.0,9255144.0,20977.0,120097.0,16.0,55339437239,1180,331,21985488.048387095
71,2,2,1,1,load,10000020,21862.84562426076,10000000,858.8889829,0,0,20,5028765.85,0,0,0,0,57079071140.0,59727222350.0,3186511607.0,660.0,660.0,0.0,0.0,572.0,30984.2,1320.0,14416.533333333333,53.0,6447233748.0,74.0,5098149162.0,4.0,8859464.0,7363.0,124593.0,10.0,46302027208,785,234,27441040.71491108
72,2,2,1,1,load,10000020,16727.610929151877,10000000,1060.5925203,0,0,20,5315591.9,0,0,0,0,68956233599.0,69289529914.0,71134302.0,794.0,794.0,0.0,0.0,564.0,1.625,1588.0,11971.75,104.0,7406591788.0,50.0,3589908510.0,3.0,8727704.0,2547.0,14097.0,2.0,0,0,0,22755378.252222225
73,2,2,1,1,load,10000020,15037.45830864684,10000000,1205.6999069,0,0,20,6095530.4,0,0,0,0,77767191821.0,86043139324.0,4642463054.0,949.0,949.0,0.0,0.0,890.0,8989.900000000001,1898.0,12157.52380952381,58.0,7069302986.0,62.0,4121544570.0,10.0,9577504.0,38820.0,162992.0,22.0,106172392917,1808,506,30050209.30744137
74,2,2,1,1,load,10000020,14956.760006820283,10000000,1172.1260697,0,0,20,6662486.55,0,0,0,0,62934988924.0,70583414222.0,4247492479.0,795.0,794.0,0.0,0.0,769.0,161421.33333333334,1589.0,14680.7,60.0,6528080981.0,65.0,4474698258.0,9.0,9447600.0,24986.0,157744.0,16.0,90650506616,1811,499,60856905.75700935
75,2,2,1,1,load,10000020,13509.643183304242,10000000,1356.9173272,0,0,20,5519766.85,0,0,0,0,75224564110.0,76916797252.0,207625802.0,887.0,888.0,0.0,0.0,651.0,2.25,1775.0,12824.75,123.0,7647747943.0,46.0,2991153436.0,3.0,8727680.0,3344.0,15294.0,4.0,0,0,0,34500952.631578945
76,2,2,1,1,load,10000020,22421.574936266672,10000000,825.044582,0,0,20,3825633.7,0,0,0,0,58627897104.0,61243277092.0,3084327115.0,680.0,680.0,0.0,0.0,707.0,40045.75,1360.0,15943.25,47.0,6562365206.0,53.0,3620506137.0,7.0,9254456.0,24026.0,112529.0,16.0,45115035833,651,204,31221518.894117646
77,2,2,1,1,load,10000020,14678.683615653348,10000000,1258.3851263,0,0,20,3006300.8,0,0,0,0,68511931332.0,75857423546.0,4380759720.0,867.0,867.0,0.0,0.0,837.0,32740.208333333332,1734.0,12815.900000000001,65.0,6761226891.0,62.0,4309747284.0,8.0,9386216.0,35205.0,156549.0,23.0,98126040050,1913,546,50378932.83796296
78,2,2,1,1,load,10000020,18558.350236897342,10000000,1033.1649291,0,0,20,2343975.75,0,0,0,0,57611966984.0,58384879486.0,138291454.0,663.0,663.0,0.0,0.0,538.0,1.625,1326.0,10302.833333333334,85.0,6743074882.0,53.0,3571604927.0,3.0,8727680.0,3341.0,14333.0,5.0,0,0,0,94105847.11702126
79,2,2,1,1,workloada,50000020,16626.054756913778,4996418,13.208383886216085,45003582,1305.6170377726821,20,63392.55,0,0,0,0,13706516444.0,32923611638.0,8746663885.0,320.0,320.0,0.0,0.0,268817.0,3.8533333333333326,640.0,283002.0,11.0,3444573581.0,37.0,2186321533.0,107216.0,7116374000.0,129755594.0,272662.0,160139.0,342818254055,4547,1465,225516.760015263
80,2,2,1,1,workloada,50000020,18199.176887627727,4998543,14.03429319303645,45001457,1187.854686771586,20,90226.15,0,0,0,0,16754083360.0,32952434338.0,7874475341.0,321.0,321.0,0.0,0.0,242559.0,106.0125,642.0,14161.4,14.0,3448796031.0,38.0,2250018994.0,80602.0,5352122560.0,130788860.0,245888.0,160804.0,262884832279,3585,1174,221093.82006369426
81,2,2,1,1,workloada,50000020,17503.4420518795,4997612,13.833762805115724,45002388,1236.8147845176572,20,78441.55,0,0,0,0,13996443304.0,22776338380.0,3532484478.0,232.0,232.0,0.0,0.0,109917.0,1.6666666666666665,464.0,92696.5,51.0,3444933698.0,38.0,2251254060.0,109613.0,7269673728.0,178067185.0,110070.0,2.0,0,0,0,262930.40153846156
